id	text	title
1	fatlabel display change volume label volume ID MS- DOS filesystem located DEVICE . default works label mode . switched volume ID mode option -i -- volume-id . NEW omitted , existing label volume ID written standard output . label ca n't longer 11 bytes upper case best compatibility . empty string label consisting white space allowed . volume ID must	fatlabel
2	apt-cache performs variety operations APT 's package cache . apt-cache manipulate state system provide operations search generate interesting output package metadata . metadata acquired updated via 'update ' command e.g . apt-get , outdated last update long ago , exchange apt-cache works independently availability configured sources ( e.g . offline ) . Unless -h , -- help option given ,	apt-cache
3	updatedb creates updates database used locate ( 1 ) . database already exists , data reused avoid rereading directories changed . updatedb usually run daily systemd.timer ( 8 ) update default database .	updatedb
4	Pacman package management utility tracks installed packages Linux system . features dependency support , package groups , install uninstall scripts , ability sync local machine remote repository automatically upgrade packages . Pacman packages zipped tar format . Since version 3.0.0 , pacman front-end libalpm ( 3 ) , “ Arch Linux Package Management ” library . library allows alternative front-ends	pacman
5	bpftrace high-level tracing language runtime Linux based BPF . supports static dynamic tracing kernel user-space . FILENAME `` - '' , read stdin .	bpftrace
6	sensible-editor makes sensible decisions editor call . Programs Debian use script default editor . sensible-editor try following order : 1 VISUAL environment variable exists , execute VISUAL [ OPTIONS ] 2 EDITOR environment variable exists , execute EDITOR [ OPTIONS ] 3 source contents file ~/.selected_editor , SELECTED_EDITOR environment variable exists execute SELECTED_EDITOR [ OPTIONS ] 4 run editor [	sensible-editor
7	Firejail SUID sandbox program reduces risk security breaches restricting running environment untrusted applications using Linux namespaces , seccomp-bpf Linux capabilities . allows process descendants private view globally shared kernel resources , network stack , process table , mount table . Firejail work SELinux AppArmor environment , integrated Linux Control Groups . Written C virtually dependencies , software runs Linux computer	firejail
8	debuild creates files necessary uploading Debian package . first runs dpkg-buildpackage , runs lintian .changes file created ( assuming lintian installed ) , finally signs appropriate files ( using debsign ( 1 ) instead dpkg- buildpackage ( 1 ) ; relevant key-signing options passed ) . Signing skipped distribution UNRELEASED , unless dpkg- buildpackage 's -- force-sign option used .	debuild
9	manual page documents briefly nmon command . manual page written Debian distribution original program manual page . nmon systems administrator , tuner , benchmark tool . display CPU , memory , network , disks ( mini graphs numbers ) , file systems , NFS , top processes , resources ( Linux version & amp ; processors ) Power micro-partition information	nmon
10	squeue used view job job step information jobs managed Slurm .	squeue
